,age,are_you_datascientist,company_size,country_live,employment_status,first_learn_about_main_ide,how_often_use_main_ide,ide_main,is_python_main,job_team,main_purposes,missing_features_main_ide,nps_main_ide,python_years,python3_version_most,several_projects,team_size,use_python_most,years_of_coding,python3_ver
1,21,True,5000,India,Fully employed by a company / organization,School / University,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,3.0,Python 3_6,"Yes, I work on one main and several side projects",2,Software prototyping,3.0,3.6
2,30,False,5000,United States,Fully employed by a company / organization,Friend / Colleague,Daily,Vim,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_6,"Yes, I work on one main and several side projects",4,DevOps / System administration / Writing automation scripts,3.0,3.6
10,21,False,51,Other country,Fully employed by a company / organization,School / University,Daily,IntelliJ IDEA,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,1.0,Python 3_8,"Yes, I work on one main and several side projects",2,Web development,1.0,3.8
11,21,True,51,United States,Fully employed by a company / organization, Online learning platform / Online course,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,3.0,Python 3_9,"Yes, I work on many different projects",2,Data analysis,3.0,3.9
13,30,True,5000,Belgium,Fully employed by a company / organization,Social network,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_7,"Yes, I work on many different projects",2,Data analysis,3.0,3.7
14,30,True,501,Ecuador,Fully employed by a company / organization,Other,Weekly,VS Code,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on many different projects",5,Programming of web parsers / scrapers / crawlers,3.0,3.8
15,50,False,1001,Germany,Fully employed by a company / organization,Friend / Colleague,Daily,Vim,"No, I use Python as a secondary language",Work in a team,For work,Yes – Please list:,5.0,1.0,Python 3_6,"Yes, I work on many different projects",2,Web development,11.0,3.6
17,30,True,2,Chile,Fully employed by a company / organization,Social network,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,1.0,Python 3_8,"Yes, I work on many different projects",2,Machine learning,1.0,3.8
22,40,False,51,Australia,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,VS Code,"No, I use Python as a secondary language",Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_7,"Yes, I work on one main and several side projects",2,Software prototyping,11.0,3.7
25,50,True,11,United States,Fully employed by a company / organization,Search engines,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,9.0,11.0,Python 3_8,"Yes, I work on one main and several side projects",3,Data analysis,11.0,3.8
28,21,True,5000,United States,Fully employed by a company / organization,School / University,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on many different projects",4,Data analysis,1.0,3.8
29,21,False,5000,Austria,Fully employed by a company / organization,Friend / Colleague,Weekly,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,1.0,Python 3_6,"Yes, I work on one main and several side projects",2,Software testing / Writing automated tests,1.0,3.6
31,40,False,51,Argentina,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",7.0,6.0,Python 3_6,"Yes, I work on one main and several side projects",2,Unknown,11.0,3.6
37,40,False,11,United States,Fully employed by a company / organization,Search engines,Daily,Sublime Text,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",9.0,6.0,Python 3_8,"Yes, I work on one main and several side projects",3,Web development,3.0,3.8
38,30,True,501,United States,Fully employed by a company / organization,Other,Daily,Jupyter Notebook,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,9.0,3.0,Python 3_8,"No,  I only work on one project",4,Unknown,1.0,3.8
40,30,False,51,Israel,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Community Edition,Yes,Work in a team,For work,"No, it has all the features I need",8.0,6.0,Python 3_7,"Yes, I work on one main and several side projects",8,Web development,6.0,3.7
41,21,False,51,United States,Fully employed by a company / organization,Search engines,Daily,Jupyter Notebook,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,8.0,3.0,Python 3_7,"Yes, I work on many different projects",3,Data analysis,3.0,3.7
